,clause_text,clause_type,totalwords,totalletters
1078," (a) The authorized capital stock of the Company consists of 125,000,000 shares of Company Common Stock and 5,000,000 shares of Company Preferred Stock, of which 3,000,000 shares of Company Preferred Stock are designated as Series C Preferred Stock. As of February 15, 2012 (i) 26,003,009 shares of Company Common Stock were issued and outstanding, (ii) 3,000,000 shares of Company Preferred Stock were issued and outstanding, (iii) 901,250 shares of Company Common Stock (subject to adjustment on the terms set forth in the Company Equity Incentive Plans) were authorized and reserved for issuance upon exercise of Company Stock Options outstanding and held by employees and members of the Company’s and Company Subsidiaries’ board of directors under the Company Equity Incentive Plans, 737,187 of which were vested, (iv) 2,083,333 shares of Company Common Stock were reserved for issuance upon exercise of the Company Warrants; and (v) 3,281,250 shares of Company Common Stock were reserved for conversion of the Company Convertible Notes. As of the date of this Agreement, the Company had no shares of Company Common Stock or Company Preferred Stock issued or reserved for issuance other than as described above. All such issued and outstanding shares of capital stock of the Company are, and all shares that may be issued pursuant to any Company Incentive Equity Plan or similar arrangement will be, when issued in accordance with the respective terms thereof, duly authorized, validly issued, fully paid, nonassessable and free of preemptive rights, and have been issued in compliance with all applicable U.S. securities laws (other than notice filings required in connection with securities issued in transactions exempt from registration pursuant to Regulation D or Rule 701 of the Securities Act).",capitalization,280.0,1805.0
1079," (a) The Company has authorized capital stock consisting of 50,000,000 shares of Common Stock, of which 12,811,036 shares are issued and 210,890 shares are held in treasury on the date hereof and 3,000,000 shares of Preferred Stock, of which 230,516 shares are issued and outstanding on the date hereof. The shares of Preferred Stock are convertible into an aggregate of 230,516 shares of Common Stock and have voting rights of four votes per share of Preferred Stock. Except as described in SECTION 2.3(A),of the EXCEPTION SCHEDULE there are no arrearages in the payment of dividends on the Preferred Stock. All of the outstanding shares of capital stock of the Company have been duly authorized and are validly issued, fully paid and nonassessable, and no shares were issued, and no options were granted, in violation of preemptive or similar rights of any shareholder or in violation of any applicable Securities Act.",capitalization,150.0,920.0
1080," The number of shares and type of all authorized, issued and outstanding capital stock, options and other securities of the Company (whether or not presently convertible into or exercisable or exchangeable for shares of capital stock of the Company) has been set forth in the SEC Reports and has changed since the date of such SEC Reports only to reflect stock, stock option and warrant issuances or exercises that do not, individually or in the aggregate, have a material effect on the issued and outstanding capital stock, options and other securities. All of the outstanding shares of capital stock of the Company are duly authorized, validly issued, fully paid and non-assessable, have been issued in compliance in all material respects with all applicable federal and state securities laws, and none of such outstanding shares was issued in violation of any preemptive rights or similar rights to subscribe for or purchase any capital stock of the Company. Except as specified in the SEC Reports or as contemplated by the Transaction Documents: (i) no shares of the Company's capital stock are subject to preemptive rights or any other similar rights or any liens or encumbrances suffered or permitted by the Company; (ii) except as set forth on Schedule 4(g), there are no outstanding options, warrants, scrip, rights to subscribe to, calls or commitments of any character whatsoever relating to, or securities or rights convertible into, or exercisable or exchangeable for, any shares of capital stock of the Company, or contracts, commitments, understandings or arrangements by which the Company is or may become bound to issue additional shares of capital stock of the Company or options, warrants, scrip, rights to subscribe to, calls or commitments of any character whatsoever relating to, or securities or rights convertible into, or exercisable or exchangeable for, any shares of capital stock of the Company; (iii) except as set forth in Schedule 4(j), there are no outstanding debt securities, notes, credit agreements, credit facilities or other agreements, documents or instruments evidencing indebtedness of the Company or by which the Company is or may become bound; (iv) there are no financing statements securing obligations in any material amounts, either singly or in the aggregate, filed in connection with the Company; (v) there are no agreements or arrangements under which the Company is obligated to register the sale of any of their securities under the Securities Act (ex...",capitalization,398.0,2504.0
1081," As of the date hereof and without giving effect to the Share Exchange, the authorized capital stock of the Company consists of 50,000,000 shares of Common Stock and 5,000,000 shares of preferred stock, par value $0.0001 per share (the “Preferred Stock”) and there are 5,000,000 shares of Common Stock outstanding and no shares of Preferred Stock outstanding. Immediately following the effective time of the Share Exchange, but immediately before the Initial Closing, the authorized capital stock of the Company will consist of 300,000,000 shares of Common Stock and 10,000,000 shares of Preferred Stock, and the Company will have 12,725,000 shares of Common Stock issued and outstanding (assuming the exercise of the EMI Options), no shares of Preferred Stock issued and outstanding, and options to purchase 402,586 shares of Common Stock issued and outstanding under the EIP. All of the outstanding shares of Common Stock and of the capital stock of each of the Company’s Subsidiaries have been duly authorized, validly issued and are fully paid and non-assessable and free of preemptive or similar rights and other Liens. All of the issued and outstanding capital stock of each Subsidiary of the Company are owned, directly or indirectly, by the Company, free and clear of any Liens. Immediately after giving effect to the Share Exchange and the Closing of the Minimum Offering Amount or the Maximum Offering Amount (in each case, assuming no sales pursuant to the Over-Subscription Option), the pro forma outstanding capitalization of the Company will be as set forth under “Pro Forma Capitalization” in Schedule 3c (assuming no Pre-Funded Warrants are sold in the Offering). Immediately after giving effect to the Share Exchange and the Closing: (i) no shares of capital stock of the Company or any of its Subsidiaries will be subject to preemptive rights or any other similar rights or any Liens suffered or permitted by the Company; (ii) except for Pre-Funded Warrants sold in the Offering and except as set forth on Schedule 3c(ii), there will be no outstanding options, warrants, scrip, rights to subscribe to, calls or commitments of any character whatsoever relating to, or securities or rights convertible, exercisable or exchangeable into, any shares of capital stock of the Company or any of its Subsidiaries, or any Contracts by which the Company or any of its Subsidiaries is or may become bound or pursuant to which the Company or any of its Subsidiaries is otherwise obligated to iss...",capitalization,404.0,2504.0
1082," The entire authorized capital stock, the issued and outstanding shares and the treasury shares of the Company are accurately set forth in (S) 4A(b) of the Seller's Disclosure Schedule. All of the issued and outstanding Company Shares have been duly authorized, are validly issued, fully paid, and nonassessable, and are held of record by the Seller as set forth in (S) 4A(b) of the Seller's Disclosure Schedule. There are no outstanding or authorized options, warrants, purchase rights, subscription rights, conversion rights, exchange rights, or other contracts or commitments that would require the Company to issue, sell, or otherwise cause to become outstanding any of its capital stock. There are no outstanding or authorized stock appreciation, phantom stock, profit participation, or similar rights with respect to the Company. There are no voting trusts, proxies, or other agreements or understandings with respect to the voting of the capital stock of the Company.",capitalization,150.0,974.0
1083," The Company has an authorized capitalization as set forth in the Registration Statement, the Time of Sale Information and the Prospectus under the heading “Capitalization and Indebtedness of Lafarge”; and all the outstanding shares of capital stock or other equity interests of each Principal Subsidiary of the Company have been duly and validly authorized and issued, are fully paid and non-assessable and are owned directly or indirectly by the Company, free and clear of any lien, charge, encumbrance, security interest, restriction on voting or transfer or any other claim of any third party (except in each case as otherwise described in the Registration Statement, the Time of Sale Information and the Prospectus).",capitalization,112.0,721.0
1084," Except as set forth on Schedule 4.3, the Company has not issued any capital stock since its most recently filed periodic report under the Exchange Act, other than pursuant to the exercise of employee stock options under the Company’s stock option plans, the issuance of shares of Common Stock to employees pursuant to the Company’s employee stock purchase plans and pursuant to the conversion and/or exercise of Common Stock Equivalents outstanding as of the date of the most recently filed periodic report under the Exchange Act. No Person has any right of first refusal, preemptive right, right of participation, or any similar right to participate in the transactions contemplated by the Transaction Documents. Except as set forth on Schedule 4.3 and except as a result of the purchase and sale of the Securities, there are no outstanding options, warrants, scrip rights to subscribe to, calls or commitments of any character whatsoever relating to, or securities, rights or obligations convertible into or exercisable or exchangeable for, or giving any Person any right to subscribe for or acquire any shares of Common Stock, or contracts, commitments, understandings or arrangements by which the Company or any Subsidiary is or may become bound to issue additional shares of Common Stock or Common Stock Equivalents. The issuance and sale of the Securities will not obligate the Company to issue shares of Common Stock or other securities to any Person (other than the Investor) and will not result in a right of any holder of Company securities to adjust the exercise, conversion, exchange or reset price under any of such securities. There are no stockholders agreements, voting agreements or other similar agreements with respect to the Company’s capital stock to which the Company is a party or, to the knowledge of the Company, between or among any of the Company’s stockholders.",capitalization,305.0,1890.0
1085," The authorized capital stock of the -------------- Company consists of (i) 10,000,000 shares of common stock, no par value, of which 3,879,269 shares were issued and outstanding as of the date of this Agreement, and (ii) 1,000,000 shares of Preferred Stock, no par value, of which no shares were outstanding as of the date of this Agreement. All outstanding shares of Company Common Stock are duly authorized, validly issued, fully paid, nonassessable and free of preemptive rights. Except for outstanding options to purchase 429,812 shares of Company Common Stock under the Company Option Plan and awards for 103,147 shares of Company Common Stock under the Savings Restricted Stock Plan, which awards as of the date hereof are not deemed earned and non-forfeitable, as of the date of this Agreement, there are no options, convertible securities, warrants, or other rights (preemptive or otherwise) to purchase or acquire any of the Company's capital stock from the Company and no oral or written agreement, contract, arrangement, understanding, plan or instrument of any kind (collectively, ""Stock Contract"") to which the Company or any of its affiliates is subject with respect to the issuance, voting (other than the Voting Agreement contemplated herein) or sale of issued or unissued shares of the Company's capital stock. A true and complete copy of the Company Option Plan, as in effect on the date of this Agreement, is attached as Section 2.2 of Schedule I.",capitalization,236.0,1467.0
1086," Except as set forth on SCHEDULE 3(c), as of June 30, 2006 hereof, the authorized capital stock of the Company consists of (i) 1,000,000,000 shares of Common Stock, par value $0.00005, of which 470,050,001 shares are issued and outstanding and (ii) 10,000,000 shares of preferred stock, par value $0.001, of which no shares are issued and outstanding. All of such outstanding shares of capital stock are, or upon issuance will be, duly authorized, validly issued, fully paid and nonassessable. No shares of capital stock of the Company are subject to preemptive rights or any other similar rights of the shareholders of the Company or any liens or encumbrances imposed through the actions or failure to act of the Company. Except as disclosed in SCHEDULE 3(c), as of the date of this Agreement, (i) there are no outstanding options, warrants, scrip, rights to subscribe for, puts, calls, rights of first refusal, agreements, understandings, claims or other commitments or rights of any character whatsoever relating to, or securities or rights convertible into or exchangeable for any shares of capital stock of the Company or any of its Subsidiaries, or arrangements by which the Company or any of its Subsidiaries is or may become bound to issue additional shares of capital stock of the Company or any of its Subsidiaries, (ii) there are no agreements or arrangements under which the Company or any of its Subsidiaries is obligated to register the sale of any of its or their securities under the 1933 Act (except the Registration Rights Agreement) and (iii) there are no anti-dilution or price adjustment provisions contained in any security issued by the Company (or in any agreement providing rights to security holders) that will be triggered by the issuance of the Notes, the Warrants, the Conversion Shares or Warrant Shares. The Company has made available to each Buyer true copies of the Certificate of Incorporation as in effect on the date hereof, the Company's By-laws, as in effect on the date hereof (the ""BY-LAWS""), and the terms of all securities convertible into or exercisable for Common Stock of the Company and the material rights of the holders thereof in respect thereto.",capitalization,361.0,2195.0
1087," The authorized, issued and outstanding capital stock of the Company is set forth in SCHEDULE 2.1(c). No shares of Common Stock are entitled to preemptive or similar rights, nor is any holder of the Common Stock entitled to preemptive or similar rights arising out of any agreement or understanding with the Company by virtue of any of the Transaction Documents. Except as disclosed in SCHEDULE 2.1(c), there are no outstanding options, warrants, script rights to subscribe to, calls or commitments of any character whatsoever relating to, or, except as a result of the purchase and sale of the Debentures and Warrant hereunder, securities, rights or obligations convertible into or exchangeable for, or giving any person any right to subscribe for or acquire any shares of Common Stock, or contracts, commitments, understandings, or arrangements by which the Company or any Subsidiary is or may become bound to issue additional shares of Common Stock, or securities or rights convertible or exchangeable into shares of Common Stock. To the knowledge of the Company, except as specifically disclosed in the Disclosure Materials (as defined below) or SCHEDULE 2.1(c), no Person (as defined below) beneficially owns (as determined pursuant to Rule 13d-3 promulgated under the Securities Exchange Act of 1934, as amended (the ""EXCHANGE ACT"")) or has the right to acquire by agreement with or by obligation binding upon the Company, beneficial ownership of in excess of 5% of the Common Stock. A ""PERSON"" means an individual or corporation, partnership, trust, incorporated or unincorporated association, joint venture, limited liability company, joint stock company, government (or an agency or subdivision thereof) or other entity of any kind.",capitalization,271.0,1741.0
1088," The capitalization of the Company as of the date hereof is as set forth in the Registration Statement, the General Disclosure Package and the Prospectus. The Company has not issued any capital stock since its most recently filed periodic report under the Exchange Act, other than pursuant to the Company’s equity incentive plans, the issuance of shares of Common Stock to employees, directors or consultants pursuant to the Company’s equity incentive plans and pursuant to the conversion and/or exercise of any securities of the Company or the Subsidiaries which would entitle the holder thereof to acquire at any time Common Stock, including, without limitation, any debt, preferred stock, right, option, warrant or other instrument that is at any time convertible into or exercisable or exchangeable for, or otherwise entitles the holder thereof to receive, Common Stock (“Common Stock Equivalents”) and is outstanding as of the date of the most recently filed periodic report under the Exchange Act. No individual or corporation, partnership, trust, incorporated or unincorporated association, joint venture, limited liability company, joint stock company, government (or an agency or subdivision thereof) or other entity of any kind (each, a “Person”) has any right of first refusal, preemptive right, right of participation, or any similar right to participate in the transactions contemplated by the Transaction Documents. Except as a result of the purchase and sale of the Securities or as disclosed in the Registration Statement, the General Disclosure Package and the Prospectus, there are no outstanding options, warrants, scrip rights to subscribe to, calls or commitments of any character whatsoever relating to, or securities, rights or obligations convertible into or exercisable or exchangeable for, or giving any Person any right to subscribe for or acquire, any shares of Common Stock or the capital stock of any Subsidiary, or contracts, commitments, understandings or arrangements by which the Company or any Subsidiary is or may become bound to issue additional shares of Common Stock or Common Stock Equivalents or capital stock of any Subsidiary. The issuance and sale of the Securities will not obligate the Company or any Subsidiary to issue shares of Common Stock or other securities to any Person (other than the Underwriters) and will not result in a right of any holder of Company securities to adjust the exercise, conversion, exchange or reset price under any of such se...",capitalization,390.0,2504.0
1089," The Company has an authorized capitalization as set forth in the Registration Statement, the Pricing Disclosure Package and the Prospectus under the heading “Capitalization”; all the outstanding shares of capital stock of the Company have been duly authorized and validly issued and are fully paid and non-assessable and are not subject to any pre-emptive or similar rights; except as described or incorporated by reference in or expressly contemplated by the Pricing Disclosure Package and the Prospectus, there are no outstanding rights (including, without limitation, pre-emptive rights), warrants or options to acquire, or instruments convertible into or exchangeable for, any shares of capital stock or other equity interest in the Company or any of its Subsidiaries, or any contract, commitment, agreement, understanding or arrangement of any kind relating to the issuance of any capital stock of the Company or any such Subsidiary, any such convertible or exchangeable securities or any such rights, warrants or options; the capital stock of the Company conforms in all material respects to the description thereof contained or incorporated by reference in the Registration Statement, the Pricing Disclosure Package and the Prospectus.",capitalization,185.0,1243.0
1090," The number of shares and type of all authorized, issued and outstanding capital stock of the Company, and all shares of Common Stock reserved for issuance under the Company’s various option and incentive plans, is specified in the SEC Reports and on Schedule 3.1(g). Except as specified in the SEC Reports and on Schedule 3.1(g), no securities of the Company are entitled to preemptive or similar rights, and no Person has any right of first refusal, preemptive right, right of participation, or any similar right to participate in the transactions contemplated by the Transaction Documents. Except as specified in the SEC Reports and on Schedule 3.1(g), there are no outstanding options, warrants, scrip rights to subscribe to, calls or commitments of any character whatsoever relating to, or securities, rights or obligations convertible into or exchangeable for, or giving any Person any right to subscribe for or acquire, any shares of capital stock of the Company, or contracts, commitments, understandings or arrangements by which the Company or any Subsidiary is or may become bound to issue additional shares of capital stock of the Company, or securities or rights convertible or exchangeable into shares of capital stock of the Company. The issue and sale of the Securities will not, immediately or with the passage of time, obligate the Company to issue shares of capital stock of the Company or other securities to any Person (other than the Investors under the Transaction Documents) and will not result in a right of any holder of Company securities to adjust the exercise, conversion, exchange or reset price under such securities.",capitalization,265.0,1647.0
1091," The capitalization of SMSA is as follows: 100 million shares of Common stock being duly authorized of which 530,612 shares of Common Stock are issued and outstanding and 10 million shares of Preferred Stock being authorized, none of which are issued and outstanding. No Person has any right of first refusal, preemptive right, right of participation, or any similar right to participate in the transactions contemplated by the Transaction Documents. There are no outstanding options, warrants, scrip rights to subscribe to, calls or commitments of any character whatsoever relating to, or securities, rights or obligations convertible into or exercisable or exchangeable for, or giving any Person any right to subscribe for or acquire any shares of Common Stock, or contracts, commitments, understandings or arrangements by which SMSA is or may become bound to issue additional shares of Common Stock or Common Stock Equivalents. The sale of the Shares by SMSA will not obligate SMSA to issue shares of Common Stock or other securities to any Person (other than the Purchaser) and will not result in a right of any holder of SMSA’s securities to adjust the exercise, conversion, exchange or reset price under any of such securities. All of the outstanding shares of capital stock of SMSA are validly issued, fully paid and nonassessable, have been issued in compliance with all federal and state securities laws, and none of such outstanding shares was issued in violation of any preemptive rights or similar rights to subscribe for or purchase securities. No further approval or authorization of any stockholder, the Board of Directors or others is required for the consummation of the transactions contemplated by the Transaction Documents. There are no stockholders agreements, voting agreements or other similar agreements with respect to SMSA’s capital stock to which SMSA is a party or, to the knowledge of SMSA, between or among any of SMSA’s stockholders.",capitalization,312.0,1964.0
1092," (a) Section 3.04(a) of the Disclosure Schedule sets forth: (i) the authorized Capital Stock (and type thereof) of the Company, and (ii) the number of shares (and type) of Capital Stock of the Company that are issued and outstanding, all of which are validly issued, fully paid and nonassessable. None of the issued and outstanding shares of Capital Stock of the Company was issued in violation of any preemptive rights. There are no options, equity awards, phantom equity awards, warrants, convertible securities, interests (economic or otherwise) or other rights, agreements, arrangements or commitments of any character relating to any Capital Stock of the Company (including the Shares) or obligating the Seller or the Company to issue or sell any Capital Stock (including any Shares) or any other interest in the Company. There are no outstanding contractual obligations of the Company to repurchase, redeem or otherwise acquire any of its shares of Capital Stock or other interests or to provide funds to, or make any investment (in the form of a loan, capital contribution or otherwise) in, any other Person. The Shares constitute all of the issued and outstanding Capital Stock of the Company and are owned of record and beneficially by the Seller, as set forth in Section 3.04(a) of the Disclosure Schedule. Upon consummation of the transactions contemplated by this Agreement and registration of the Shares in the name of the Purchaser in the stock records of the Company, the Purchaser will own all the issued and outstanding Capital Stock of the Company free and clear of all Encumbrances (other than any Encumbrances arising due to, or resulting from any action on the part of, Parent, the Purchaser or any of their Affiliates). There are no voting trusts, stockholder agreements, proxies or other agreements or understandings in effect with respect to the voting or transfer of any of the Shares.",capitalization,311.0,1910.0
1093," The authorized capital stock of the Company consists of 30,000,000 shares of Company Common Stock and 1,000,000 shares of preferred stock, no par value, of the Company (the “Company Preferred Stock”). As of the close of business on March 1, 2012 (the “Capitalization Date”), there were 16,859,825 shares of Company Common Stock outstanding (which includes 103,500 Company Restricted Shares), 541,650 shares of Company Common Stock subject to outstanding Company Stock Options and 42,750 shares of Series A Company Preferred Stock outstanding. Since the Capitalization Date and through the date of this Agreement, except in connection with this Agreement and the transactions contemplated hereby, and as set forth in Section 3.3 of the Company Disclosure Schedule, the Company has not (1) issued or authorized the issuance of any shares of Company Common Stock or Company Preferred Stock, or any securities convertible into or exchangeable or exercisable for shares of Company Common Stock or Company Preferred Stock, (2) reserved for issuance any shares of Company Common Stock or Company Preferred Stock or (3) repurchased or redeemed, or authorized the repurchase or redemption of, any shares of Company Common Stock or Company Preferred Stock. As of the close of business on the Capitalization Date, other than in respect of shares of Common Stock reserved for issuance in connection with any stock option or other equity incentive plan in respect of which an aggregate of no more than 854,111 shares of Common Stock have been reserved for issuance and an additional 799,170 shares reserved for issuance under the Stock Purchase Plan, no shares of Company Common Stock or Company Preferred Stock were reserved for issuance. All of the issued and outstanding shares of Company Common Stock or Company Preferred Stock have been duly authorized and validly issued and are fully paid and nonassessable, and have been issued in compliance with all federal and state securities laws, and were not issued in violation of or subject to any preemptive rights or other rights to subscribe for or purchase securities. No bonds, debentures, notes or other indebtedness having the right to vote on any matters on which the shareholders of the Company may vote (“Voting Debt”) are issued and outstanding. As of the date of this Agreement, except (A) pursuant to any cashless exercise provisions of any Company stock options or pursuant to the surrender of shares to the Company or the withholding of shares by t...",capitalization,401.0,2504.0
1094," On the date hereof, the authorized share capital of the Company consists of:",capitalization,13.0,77.0
1095," The authorized capital of the Company consists, or will consist, immediately prior to the Closing, of:",capitalization,16.0,103.0
1096," The authorized capital stock of the Company consists of 100,000,000 shares of Common Stock and 5,000,000 shares of preferred stock, par value $0.01 per share. As of November 3, 2008, 27,247,381 shares were issued and outstanding, consisting of 27,247,381 shares of Common Stock and no shares of preferred stock. The Company has not issued any capital stock since the date above other than pursuant to (i) employee benefit plans disclosed in the Exchange Act Documents, or (ii) outstanding warrants, options or other securities disclosed in the Exchange Act Documents. The outstanding shares of capital stock of the Company have been duly authorized and validly issued, are fully paid and nonassessable, have been issued in compliance with all federal and state securities laws, and were not issued in violation of any preemptive rights or similar rights to subscribe for or purchase securities. Except as set forth in or contemplated by the Exchange Act Documents, there are no outstanding rights (including, without limitation, preemptive rights), warrants or options to acquire, or instruments convertible into or exchangeable for, any unissued shares of capital stock or other equity interest in the Company or any contract, commitment, agreement, understanding or arrangement of any kind to which the Company is a party or of which the Company has knowledge and relating to the issuance or sale of any capital stock of the Company, any such convertible or exchangeable securities or any such rights, warrants or options. Without limiting the foregoing and except as provided herein or as disclosed in the Exchange Act Documents, no preemptive right, co-sale right, right of first refusal, registration right, or other similar right exists with respect to the Purchased Shares or the issuance and sale thereof. No further approval or authorization of any stockholder, the Board of Directors of the Company or others is required for the issuance and sale of the Purchased Shares. Except as disclosed in the Exchange Act Documents, there are no stockholders agreements, voting agreements or other similar agreements with respect to the Common Stock to which the Company is a party or, to the knowledge of the Company, between or among any of the Company’s stockholders.",capitalization,360.0,2271.0
1097," The authorized capital stock of Dicom consists of 50,000,000 shares of Dicom Common Stock, of which 1,350,000 shares are issued and outstanding as of the Closing Date and 10,000,000 shares of Dicom Preferred Stock, none of which are issued and outstanding as of the Closing Date. Schedule 3(a) correctly sets forth the identity of the Dicom shareholders and the amount of stock owned by each. All of the issued and outstanding shares of Dicom Common Stock (including the Torchmark Shares) have been duly authorized, validly issued, and are fully paid and non-assessable, with no personal liability attaching to the ownership thereof, free from all pre-emptive or other rights to acquire such shares. Dicom is not bound by any outstanding subscriptions, options, warrants, calls, commitments, or agreements of any character calling for the transfer, purchase, or issuance of any shares of its capital stock or any securities representing the right to purchase or otherwise receive any shares of its capital stock or any securities convertible into or representing the right to purchase or subscribe for any such shares, and there are no agreements or undertakings to which Dicom is a party with respect to voting any such shares other than this Agreement, the Co-Sale Agreement and the Shareholder Voting Agreement executed in connection with this Agreement.",capitalization,215.0,1358.0
1098," Immediately prior to the execution of this Agreement, shares of Common Stock will be issued and outstanding. All of the issued and outstanding shares of Common Stock of the Company and the Subsidiaries (if any) have been duly and validly authorized and issued and are fully paid, and have not been issued in violation of or subject to any pre-emptive right or other similar right of stockholders arising by operation of law, under the charter of the Company or any organizational documents of the Subsidiaries, under any agreement to which the Company or the Subsidiaries is a party or otherwise; except as disclosed in or contemplated by the Registration Statement and the Prospectus, there are no outstanding (i) securities or obligations of the Company or the Subsidiaries convertible into or exchangeable for any capital shares of the Company or the Subsidiaries, respectively, (ii) warrants, rights or options to subscribe for or purchase from the Company or the Subsidiaries any such capital shares or any such convertible or exchangeable securities or obligations or (iii) obligations of the Company or the Subsidiaries to issue or sell any capital shares, any such convertible or exchangeable securities or obligation, or any such warrants, rights or options.",capitalization,202.0,1268.0
1099," The authorized capital stock of the Company and the shares thereof currently issued and outstanding as of September 20, 2001 are set forth on Schedule 2.1(c) hereto. All of the outstanding shares of the Company's Common Stock have been duly and validly authorized. Except as set forth in this Agreement and the Registration Rights Agreement and as set forth on Schedule 2.1(c) hereto, no shares of Common Stock are entitled to preemptive rights or registration rights and there are no outstanding options, warrants, scrip, rights to subscribe to, call or commitments of any character whatsoever relating to, or securities or rights convertible into, any shares of capital stock of the Company. Furthermore, except as set forth in this Agreement and the Registration Rights Agreement and as set forth on Schedule 2.1(c), there are no contracts, commitments, understandings, or arrangements by which the Company is or may become bound to issue additional shares of the capital stock of the Company or options, securities or rights convertible into shares of capital stock of the Company. Except for customary transfer restrictions contained in agreements entered into by the Company in order to sell restricted securities or as provided on Schedule 2.1 (c) hereto, the Company is not a party to any agreement granting registration or anti-dilution rights to any person with respect to any of its equity or debt securities. The Company is not a party to, and it has no knowledge of, any agreement restricting the voting or transfer of any shares of the capital stock of the Company. Except as set forth on Schedule 2.1(c) hereto, the offer and sale of all capital stock, convertible securities, rights, warrants, or options of the Company issued prior to the Closing complied with all applicable Federal and state securities laws, and no stockholder has a right of rescission or damages with respect thereto which would have a Material Adverse Effect (as defined in Section 2.1(e) herein) on the Company's financial condition or operating results. The Company has furnished or made available to the Purchaser true and correct copies of the Company's Certificate of Incorporation as in effect on the date hereof (the ""Certificate""), and the Company's Bylaws as in effect on the date hereof (the ""Bylaws"").",capitalization,372.0,2302.0
1100," As of the date hereof (and without giving effect to the sale of the Purchased Shares hereunder or the other matters referred to in Section 4(e)(vii) hereof), the authorized capital stock of the Corporation consists of 30,000,000 shares of Common Stock, of which 10,877,982 shares of Common Stock are duly and validly issued and outstanding; 800,000 shares of Class A Preferred Stock, no shares of which are issued or outstanding; and 2,000,000 shares of Class B Preferred Stock, of which the following are authorized, and duly and validly issued and outstanding: 100,000 shares of Class B Convertible Redeemable Preferred Stock, Series 1997 authorized, no shares of which are issued and outstanding, 4,000 shares of Class B Redeemable Preferred Stock, Series 1997-A authorized, of which 4,000 shares are duly and validly issued and outstanding (the ""Preferred Stock 1997-A""), 152,321 shares of Class B Convertible Preferred Stock, Series C authorized, of which 142,486 shares are duly and validly issued and outstanding, and 100,000 shares of Class B Convertible Preferred Stock, Series 1996 authorized, of which 100,000 shares are duly and validly issued and outstanding, and all such shares are fully paid and nonassessable. All outstanding shares of the Corporation's capital stock have been issued in compliance with all federal and state securities laws, and were not issued in violation of or subject to any pre-emptive rights or other rights to subscribe for or purchase securities of the Corporation. When issued in accordance with this Agreement, the Purchased Shares will be duly and validly issued, fully paid and non-assessable. The issuance and sale of the Purchased Shares is not subject to the pre-emptive or other similar rights of the stockholders of the Corporation or any liens or encumbrances.",capitalization,285.0,1814.0
1101," The authorized capital of the Company consists of 5,000,000 shares of Common Stock, $.50 par value per share (the ""Common Stock""), of which, prior to the sale of shares hereunder, 2,191,157 shares of Common Stock are outstanding. All outstanding shares are fully paid, are non-assessable and have been validly issued in compliance with all applicable Federal and state securities laws, and the issuance of such shares was duly authorized. Except as contemplated by this Agreement, as set forth on Schedule 2.2 attached hereto, or as described or referred to in the Company Reports (as defined below) there are (i) no outstanding subscriptions, warrants, options, conversion privileges or other rights or agreements to purchase or otherwise acquire or issue any shares of capital stock of the Company (or shares reserved for such purpose), (ii) no preemptive rights or rights of first refusal with respect to the issuance of additional shares of capital stock of the Company, including without limitation the Purchased Securities and the shares of Common Stock which the Purchased Warrants are exercisable to purchase, and (iii) no commitments or understandings (oral or written) of the Company to issue any shares, warrants, options or other rights. To the Company's knowledge, except as set forth in the Company Reports, none of the shares of Common Stock are subject to any shareholders' agreement, voting trust agreement or similar arrangement or understanding. Except as set forth in the Company Reports, the Company has no outstanding bonds, debentures, notes or other obligations the holders of which have the right to vote (or which are convertible into or exercisable for securities having the right to vote) with the stockholders of the Company on any matter.",capitalization,280.0,1769.0
1102," (a) The authorized capital stock of the Company consists of 3,000,000 shares of Common Stock. As of the date hereof, 2,038,813 shares of Common Stock are issued and outstanding. All outstanding shares of Common Stock are duly authorized, validly issued, fully paid and non-assessable and are free of any Liens, and are not subject to preemptive rights or rights of first refusal created by statute, the certificate of incorporation or by-laws of the Company or any agreement to which the Company is a party or by which it is bound. As of the date hereof, there are 500,000 shares of Common Stock reserved for issuance under the Company Option Plan, of which 282,000 shares were subject to outstanding options and 218,000 shares were reserved for future option grants or other equity awards as of such date. The Company has delivered to Parent true and complete copies of each form of agreement and Company Option Plan evidencing each Company Option. Except for the rights disclosed in the preceding sentences, there are no other options, warrants, calls, rights, commitments or agreements of any character to which the Company is a party or by which it is bound, obligating the Company to issue, deliver, sell, repurchase or redeem or cause to be issued, delivered, sold, repurchased or redeemed, any shares of capital stock of the Company or obligating the Company to grant, extend, accelerate the vesting of, change the price of, or otherwise amend or enter into any such option, warrant, call, right, commitment or agreement. All shares of Common Stock issuable upon exercise of the Company Options described in this Section 3.5 will be, when issued pursuant to the respective terms of such Company Options, duly authorized, validly issued, fully paid and non-assessable. There are no other contracts, commitments or agreements relating to voting, purchase or sale, rights of first refusal or transfer of the capital stock of the Company. All shares of outstanding Common Stock and rights to acquire the capital stock of the Company were issued in compliance with all applicable federal and state securities laws.",capitalization,346.0,2117.0
1103," The Adviser has the financial resources available to it necessary for the performance of its services and obligations as contemplated in the Prospectus and under this Agreement and the Advisory Agreement, and the Accounting Agreement.",capitalization,35.0,235.0
